Ticket ID,Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Time Since Purchase,Response Time (minutes),Resolution Time (hours),Is High Priority,Is Social Media,Is Weekend Purchase
1,-0.7863117997586148,2,16,4,2,0,3,0,-0.484263883216574,1154175.6,-0.9633333333333334,0,1,0
2,-0.1325123169491594,0,21,4,2,0,0,0,-0.836760178177194,1066605.6333333333,-5.463888888888889,0,0,1
3,0.2597673727365137,2,10,4,0,2,3,0,0.9661716911295832,1515554.6333333333,6.85,1,1,0
4,-1.1132115411633423,0,25,0,0,2,3,0,0.2611791012083435,1339649.6666666667,-5.533333333333333,1,1,0
5,1.501986390074479,0,5,0,0,2,1,1,1.8965307647141705,1746732.7,19.683333333333334,1,0,0
6,0.5866671141412414,1,25,1,1,2,3,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,1,1,0
7,-1.309351386006179,2,26,2,1,0,3,1,0.0069194786137979,1276393.5583333333,-0.028055555555555556,0,1,1
8,-1.3747313342871246,1,32,3,1,0,3,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,0,1,1
9,1.04432675210786,2,13,4,2,2,3,1,0.954614435557104,1512632.7833333334,0.7502777777777778,1,1,0
10,-1.1132115411633423,1,11,3,2,0,2,1,1.7173933033407405,1702645.8,1.8666666666666667,0,0,0
11,0.2597673727365137,1,30,1,0,1,2,1,-0.1259889604697144,1243786.8166666667,-17.916666666666668,1,0,0
12,0.4559072175793503,1,27,2,0,1,0,0,-1.732447485044343,843125.85,-2.6333333333333333,1,0,1
13,-1.1132115411633423,2,31,4,2,2,0,1,-0.8598746893221526,1060983.8833333333,-7.768055555555556,1,0,0
14,1.3712264935125875,2,28,4,2,2,0,1,0.971950318915823,1517554.9,-9.285,1,0,0
15,0.2597673727365137,0,38,0,0,1,0,0,1.7520650700581786,1711102.9166666667,-7.233333333333333,1,0,1
16,-1.7016310756918522,2,15,0,2,1,3,0,-1.027454895123103,1018989.95,-3.8691666666666666,1,1,0
17,1.2404665969506967,2,40,2,0,0,0,0,-1.6688825793957065,859426.9833333333,-3.8,0,0,0
18,0.782806958984078,0,27,2,2,1,0,1,0.6483471628864015,1436945.0166666666,-9.786944444444444,1,0,0
19,-1.6362511274109066,1,22,2,1,1,3,1,0.0069194786137979,1276393.5583333333,-0.028055555555555556,1,1,0
20,-0.3286521617919961,0,9,3,0,2,0,0,-0.4033630942092187,1173646.0666666667,19.716666666666665,1,0,0
21,-1.047831592882397,2,19,3,2,1,0,1,-0.888767828253351,1052948.0833333333,6.161944444444444,1,0,0
22,1.4366064417935334,1,13,1,2,0,3,1,1.8907521369279308,1746717.1166666667,11.344722222222222,0,1,0
23,0.6520470624221869,0,40,1,1,3,3,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,1,1,0
24,1.2404665969506967,0,31,4,2,2,3,0,-1.275935889931409,956706.15,2.194166666666667,1,1,0
25,-1.6362511274109066,1,2,2,1,0,1,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,0,0,0
26,-0.5901719549157782,2,19,2,2,3,3,0,-1.0910198007717395,1003382.2,-7.74,1,1,0
27,-1.4401112825680702,2,23,0,2,2,3,0,1.3880115195250793,1621202.2166666666,-8.740277777777777,1,1,1
28,-1.5054912308490156,2,12,1,1,1,2,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,1,0,0
29,-0.917071696320506,2,12,4,0,0,2,0,1.1568664080754925,1563797.2833333334,6.766666666666667,0,0,0
30,1.501986390074479,1,40,1,0,3,2,0,0.0126981064000376,1277334.2833333334,17.483333333333334,1,0,1
31,-1.4401112825680702,2,0,0,1,2,1,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,1,0,0
32,1.04432675210786,1,15,4,0,3,3,1,-2.0618292688600044,760722.35,0.5666666666666667,1,1,0
33,-0.5247920066348326,0,12,0,2,3,0,1,-1.9867071076388885,780216.35,-8.309166666666666,1,0,0
34,0.3905272692984048,1,5,3,0,0,3,0,-1.998264363211368,776281.3833333333,16.4,0,1,0
35,-1.1132115411633423,1,27,3,2,2,0,0,-0.5882791833688881,1128770.4,-9.543333333333333,1,0,0
36,-1.309351386006179,2,16,1,0,1,0,1,0.4403165625817732,1384316.4166666667,-7.7,1,0,0
37,1.3712264935125875,0,9,3,2,3,1,1,1.6711642810508232,1691511.4666666666,-4.561111111111111,1,0,1
38,-0.3286521617919961,0,2,2,1,3,0,0,0.0069194786137979,1276393.5583333333,-0.028055555555555556,1,0,0
